iter	Passed	Remaining
0	0	271
1	0	260
2	0	241
3	0	240
4	1	238
5	1	233
6	1	226
7	1	221
8	1	219
9	2	216
10	2	215
11	2	214
12	2	212
13	3	212
14	3	211
15	3	212
16	3	216
17	4	218
18	4	220
19	4	220
20	4	219
21	4	218
22	5	217
23	5	215
24	5	216
25	5	214
26	5	213
27	6	214
28	6	213
29	6	212
30	7	229
31	7	227
32	7	226
33	7	224
34	8	223
35	8	222
36	8	221
37	8	220
38	8	219
39	9	218
40	9	217
41	9	216
42	9	217
43	10	217
44	10	216
45	10	216
46	10	215
47	10	215
48	11	214
49	11	213
50	11	213
51	11	213
52	11	212
53	12	211
54	12	211
55	12	210
56	12	209
57	12	209
58	13	208
59	13	207
60	13	207
61	13	208
62	13	207
63	14	207
64	14	206
65	14	206
66	14	205
67	14	205
68	15	204
69	15	204
70	15	203
71	15	203
72	15	202
73	16	202
74	16	201
75	16	201
76	16	201
77	17	201
78	17	200
79	17	200
80	17	200
81	17	199
82	17	197
83	18	197
84	18	197
85	18	196
86	18	196
87	18	195
88	19	195
89	19	195
90	19	194
91	19	195
92	19	194
93	20	194
94	20	194
95	20	193
96	20	193
97	20	192
98	21	192
99	21	192
100	21	191
101	21	191
102	21	191
103	22	190
104	22	190
105	22	189
106	22	189
107	22	188
108	23	188
109	23	188
110	23	187
111	23	187
112	23	186
113	24	186
114	24	186
115	24	185
116	24	185
117	24	184
118	24	184
119	25	184
120	25	183
121	25	183
122	25	183
123	25	182
124	26	182
125	26	182
126	26	181
127	26	181
128	26	180
129	27	180
130	27	180
131	27	180
132	27	180
133	27	179
134	28	179
135	28	179
136	28	179
137	28	178
138	28	178
139	29	178
140	29	177
141	29	177
142	29	176
143	29	176
144	29	176
145	30	176
146	30	175
147	30	175
148	30	175
149	30	174
150	31	174
151	31	174
152	31	173
153	31	173
154	31	173
155	31	173
156	32	172
157	32	172
158	32	172
159	32	172
160	32	171
161	33	171
162	33	170
163	33	170
164	33	170
165	33	169
166	34	169
167	34	169
168	34	169
169	34	168
170	34	168
171	35	169
172	35	168
173	35	169
174	35	169
175	36	169
176	36	169
177	36	169
178	36	169
179	37	169
180	37	169
181	37	169
182	37	168
183	38	168
184	38	168
185	38	168
186	38	167
187	38	167
188	38	167
189	39	166
190	39	166
191	39	166
192	39	166
193	39	166
194	40	165
195	40	165
196	40	165
197	40	165
198	40	164
199	41	164
200	41	164
201	41	164
202	41	163
203	41	163
204	42	163
205	42	163
206	42	162
207	42	162
208	42	162
209	43	162
210	43	161
211	43	161
212	43	161
213	43	161
214	44	160
215	44	160
216	44	160
217	44	160
218	44	160
219	45	159
220	45	159
221	45	159
222	45	159
223	45	158
224	46	158
225	46	158
226	46	158
227	46	157
228	46	157
229	46	157
230	47	157
231	47	156
232	47	156
233	47	156
234	47	156
235	48	155
236	48	155
237	48	155
238	48	155
239	48	154
240	49	154
241	49	154
242	49	154
243	49	154
244	49	153
245	50	153
246	50	153
247	50	153
248	50	152
249	50	152
250	51	152
251	51	152
252	51	152
253	51	151
254	51	151
255	52	151
256	52	151
257	52	151
258	52	150
259	52	150
260	53	150
261	53	150
262	53	150
263	53	150
264	54	150
265	54	149
266	54	149
267	54	149
268	54	149
269	55	149
270	55	148
271	55	148
272	55	148
273	55	148
274	56	147
275	56	147
276	56	147
277	56	147
278	56	146
279	57	146
280	57	146
281	57	146
282	57	146
283	57	145
284	58	145
285	58	145
286	58	145
287	58	145
288	58	145
289	59	145
290	59	144
291	59	144
292	59	144
293	60	144
294	60	144
295	60	144
296	60	143
297	60	143
298	61	143
299	61	143
300	61	143
301	61	142
302	61	142
303	62	142
304	62	142
305	62	141
306	62	141
307	62	141
308	63	141
309	63	141
310	63	140
311	63	140
312	63	140
313	64	140
314	64	139
315	64	139
316	64	139
317	64	139
318	65	139
319	65	138
320	65	138
321	65	138
322	65	138
323	66	138
324	66	137
325	66	137
326	66	137
327	66	137
328	67	137
329	67	136
330	67	136
331	67	136
332	67	136
333	68	135
334	68	135
335	68	135
336	68	135
337	68	134
338	69	134
339	69	134
340	69	134
341	69	134
342	69	133
343	70	133
344	70	133
345	70	133
346	70	133
347	70	132
348	71	132
349	71	132
350	71	132
351	71	132
352	71	131
353	72	131
354	72	131
355	72	131
356	72	130
357	72	130
358	73	130
359	73	130
360	73	130
361	73	129
362	73	129
363	74	129
364	74	129
365	74	128
366	74	128
367	74	128
368	75	128
369	75	128
370	75	127
371	75	127
372	75	127
373	75	127
374	76	126
375	76	126
376	76	127
377	77	126
378	77	126
379	77	126
380	77	126
381	77	126
382	78	125
383	78	125
384	78	125
385	78	125
386	78	125
387	79	124
388	79	124
389	79	124
390	79	124
391	79	123
392	80	123
393	80	123
394	80	123
395	80	123
396	80	122
397	81	122
398	81	122
399	81	122
400	81	122
401	81	121
402	82	121
403	82	121
404	82	121
405	82	121
406	83	121
407	83	120
408	83	120
409	83	120
410	83	120
411	84	120
412	84	119
413	84	119
414	84	119
415	84	119
416	85	119
417	85	118
418	85	118
419	85	118
420	85	118
421	86	117
422	86	117
423	86	117
424	86	117
425	86	117
426	87	116
427	87	116
428	87	116
429	87	116
430	87	115
431	88	115
432	88	115
433	88	115
434	88	115
435	88	114
436	89	114
437	89	114
438	89	114
439	89	114
440	89	113
441	89	113
442	90	113
443	90	113
444	90	112
445	90	112
446	90	112
447	91	112
448	91	112
449	91	111
450	91	111
451	91	111
452	92	111
453	92	111
454	92	110
455	92	110
456	93	110
457	93	110
458	93	110
459	93	109
460	93	109
461	94	109
462	94	109
463	94	109
464	94	108
465	94	108
466	94	108
467	95	108
468	95	108
469	95	107
470	95	107
471	95	107
472	96	107
473	96	106
474	96	106
475	96	106
476	97	106
477	97	106
478	97	105
479	97	105
480	97	105
481	98	105
482	98	105
483	98	104
484	98	104
485	98	104
486	99	104
487	99	104
488	99	104
489	99	103
490	99	103
491	100	103
492	100	103
493	100	103
494	100	102
495	100	102
496	101	102
497	101	102
498	101	101
499	101	101
500	101	101
501	102	101
502	102	101
503	102	100
504	102	100
505	102	100
506	103	100
507	103	99
508	103	99
509	103	99
510	103	99
511	103	99
512	104	98
513	104	98
514	104	98
515	104	98
516	104	98
517	105	97
518	105	97
519	105	97
520	105	97
521	106	97
522	106	96
523	106	96
524	106	96
525	106	96
526	106	96
527	107	95
528	107	95
529	107	95
530	107	95
531	107	94
532	108	94
533	108	94
534	108	94
535	108	94
536	108	93
537	109	93
538	109	93
539	109	93
540	109	93
541	109	92
542	109	92
543	110	92
544	110	92
545	110	91
546	110	91
547	110	91
548	111	91
549	111	91
550	111	90
551	111	90
552	111	90
553	112	90
554	112	89
555	112	89
556	112	89
557	112	89
558	113	89
559	113	88
560	113	88
561	113	88
562	113	88
563	114	88
564	114	87
565	114	87
566	114	87
567	114	87
568	115	87
569	115	86
570	115	86
571	115	86
572	115	86
573	115	86
574	116	85
575	116	85
576	116	85
577	116	85
578	116	85
579	117	84
580	117	84
581	117	84
582	117	84
583	117	83
584	118	83
585	118	83
586	118	83
587	118	83
588	118	82
589	119	82
590	119	82
591	119	82
592	119	82
593	119	81
594	119	81
595	120	81
596	120	81
597	120	81
598	120	80
599	120	80
600	121	80
601	121	80
602	121	79
603	121	79
604	121	79
605	122	79
606	122	79
607	122	78
608	122	78
609	122	78
610	122	78
611	123	78
612	123	77
613	123	77
614	123	77
615	123	77
616	124	77
617	124	76
618	124	76
619	124	76
620	124	76
621	125	76
622	125	75
623	125	75
624	125	75
625	125	75
626	126	75
627	126	74
628	126	74
629	126	74
630	126	74
631	127	74
632	127	73
633	127	73
634	127	73
635	127	73
636	128	72
637	128	72
638	128	72
